,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
158,AA396,185,02/11/2017,Burmeister & Wain Scandinavian Contractor A/S (BWSC),Snetterton Biomass Plant,Biomass (dedicated),,,44.2,No,,,,,,,,Operational,Operational,"Snetterton Heath, near the A11 in Snetterton",Norfolk,Eastern,England,NR16 2JU,"600,731","290,906",Breckland Council,,,,,,19/01/2012,,,,,,,18/07/2012,,,,18/07/2015,20/01/2015,13/12/2016
159,AA931,186,31/10/2016,Speyside Renewable Energy Partnership,Speyside Biomass CHP Plant,Biomass (dedicated),,,12.5,Yes,,,,,,,,Operational,Operational,"Craigellachie Wood, Craigellachie, Aberlour, Grampian",Grampian,Scotland,Scotland,,"327,641","845,585",Moray Council,,,,,,27/08/2012,,,,,,,08/03/2013,,,,,26/11/2014,24/06/2016
163,IF1113,190,31/08/2017,Burmeister & Wain Scandinavian (BWSC)/ Bioenergy Infrastructure Group,Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),,,20,Yes,,,,,,,,Operational,Operational,Stobart Park/3MG Multi Modal Gateway (formerly known as West Bank Industrial Estate) approximately 1 kilometre (0.6 miles) west of Widnes Town Centre,Merseyside,North West,England,BT79 9HH,"350,091","384,450",Halton Borough Council,,,,,,22/10/2012,,,,,,,04/04/2013,,,,,01/02/2015,06/02/2017
165,EN00567a,192,04/06/2018,Drax Power,Drax Biomass Power Station - Unit 2,Biomass (dedicated),,,645,No,,,,,,,,Operational,Operational,Near Selby in North Yorkshire,North Yorkshire,Yorkshire and Humber,England,,"466,650","427,050",DECC (S36),,,,,,,,,,,,,,,,,,,30/05/2014
169,N0040B,196,25/09/2014,E.ON  (formerly Powergen). Agent Environmental Planning and Management,Stevens Croft,Biomass (dedicated),,,50.4,No,,,,,,,,Operational,Operational,4km North of Lockerbie adjacent to the A74m,Dumfries and Galloway,Scotland,Scotland,,"312,100","585,100",Dumfries and Galloway Council,,,,,,07/07/2003,,,,,,,01/04/2005,,,,,01/06/2006,15/12/2007
177,EN00466,205,02/09/2011,,Macphie of Glenbervie,Biomass (dedicated),,,1.2,No,,,,,,,,Operational,Operational,"Macphie Of Glenbervie Ltd, Glenbervie, Stonehaven",Grampian,Scotland,Scotland,AB39 3YG,"376,500","780,500",Aberdeenshire Council,,,,,,13/07/2007,,,,,,,27/09/2007,,,,,,01/09/2008
178,EN00486,206,31/08/2017,Glenmont Partners,Sleaford Renewable Energy Plant,Biomass (dedicated),,,40,Yes,,,,,,,,Operational,Operational,"Boston Road, North Kesteven, Sleaford",Lincolnshire,East Midlands,England,,"508,635","345,855",North Kesteven District Council,,,,,,20/08/2008,,,,,,,04/11/2008,,,,,10/05/2012,28/11/2014
179,11022A4,209,04/01/2012,Holsworthy Biogas Company ( North Tamar Business Network),North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,,,1.4,No,,,,,,,,Operational,Operational,"Land north-east of Higher Manworth Holsworthy, Devon",Devon,South West,England,,"234,450","105,800",Torridge District Council,,,,,,21/12/1998,,,,,,,14/05/1999,,,,,,18/07/2002
180,A0137,210,04/01/2012,Scottish Water Solutions,Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,"Dunswood Road, Cumbermould, Glasgow, Strathclyde",Strathclyde,Scotland,Scotland,G67 3EN,"277,924","676,998",North Lanarkshire Council,,,,,,,,,,,,,,,,,,01/08/2009,28/09/2010
181,A0210,211,04/01/2012,Shanks Group,Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,,,2.4,No,,,,,,,,Operational,Operational,Shanks Landfill Site Meikle Drumgray Road Greengairs Airdrie Lanarkshire,Strathclyde,Scotland,Scotland,,"277,924","676,998",North Lanarkshire Council,,,,,,05/03/2004,,,,,,,20/12/2004,,,,,01/09/2010,05/10/2011
182,A0428,212,02/12/2014,Farmgen,Carr Farm (Farm AD),Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Carr Farm Cottage, Lodge Lane, Warton, Lytham St Annes, Lancs",Lancashire,North West,England,FY8 5RP,"338,850","428,420",Fylde Borough Council,,,,,,28/01/2008,,06/05/2009,,,,,,,,,,01/06/2009,01/01/2010
183,A0498,213,04/01/2012,Severn Trent Water,Stoke Bardolph energy crop (Farm AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Stoke Bardolf, Nottinghamshire",Nottinghamshire,East Midlands,England,,"464,588","342,496",Gedling Borough Council,,,,,,18/02/2009,,,,,,,11/03/2009,,,,,,10/07/2010
184,AA045,214,08/10/2013,BV Dairy,BV Dairy  (Farm AD),Anaerobic Digestion,,,1.5,Yes,,,,,,,,Operational,Operational,"Wincombe Lane, Shaftesbury, Dorset",Dorset,South West,England,,"387,275","123,550",North Dorset District Council,,,,,,27/05/2009,,,,,,,28/07/2009,,,,,,05/01/2011
186,AA176,217,13/02/2013,Viridor,South Manchester Resource Recovery Centre (AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Longley Lane, Sharston",Greater Manchester,North West,England,,"383,732","388,642",Manchester City Council,,,,,,23/07/2007,,,,,,,20/12/2007,,,,,01/11/2010,01/01/2012
187,AA178,218,23/01/2013,Viridor,Reliance Street Mechanical Biological Treatment Facility (MBT),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Reliance Street, Newton Heath, Manchester",Greater Manchester,North West,England,M40 3EZ,"388,115","400,842",Manchester City Council,,,,,,30/08/2007,,,,,,,09/10/2008,,,,,01/11/2010,07/04/2011
189,AA437,220,21/01/2013,Local Generation,Fenmarc Fenland AD Plant (Waste AD),Anaerobic Digestion,,,1.5,No,,,,,,,,Operational,Operational,"Wisbech Road, March, Cambridgeshire",Cambridgeshire,Eastern,England,PE15 0BA,"539,857","298,688",Cambridgeshire County Council,,,,,,27/05/2009,,,,,,,22/06/2009,,,,,01/12/2011,01/11/2012
